DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID,Version
2013-08-12T22:07:42.660+00:00,-10.291,162.301,42.4,4.9,mb,55,101,2.5,0.65,us,usb000j1r3,1376346921456
2013-08-12T21:43:24.300+00:00,36.258,-89.299,4.5,3.3,Md,24,119,0.0,0.10,nm,nm081213e,1376347064559
2013-08-12T21:34:29.730+00:00,14.522,-93.069,80.0,4.9,mb,113,124,2.0,1.07,us,usb000j1pk,1376346919396
2013-08-12T20:30:42.000+00:00,52.915,-163.962,28.1,2.9,Ml,,,,0.56,ak,ak10779238,1376344244919
2013-08-12T17:54:59.000+00:00,60.516,-147.705,14.6,2.6,Ml,,,,0.88,ak,ak10779175,1376331048336
2013-08-12T14:04:38.000+00:00,17.930,-68.382,59.0,3.5,Md,23,223,0.6,0.46,pr,pr13224006,1376321901767
2013-08-12T13:07:46.300+00:00,19.062,-65.146,29.0,2.8,Md,5,252,0.8,0.21,pr,pr13224005,1376315589525
2013-08-12T13:06:15.300+00:00,18.944,-65.059,60.0,2.8,Md,5,238,0.7,0.38,pr,pr13224004,1376315512099
2013-08-12T12:59:34.010+00:00,36.915,141.136,20.7,4.9,mb,55,123,2.4,0.81,us,usb000j13i,1376314266748
2013-08-12T11:55:38.300+00:00,46.710,-122.365,14.7,2.9,Ml,,90,0.2,0.15,uw,uw60570246,1376322500180
2013-08-12T09:49:32.550+00:00,-5.384,-81.873,10.0,6.1,Mwb,130,26,8.2,1.38,us,usb000j10u,1376332372794
2013-08-12T08:50:45.000+00:00,61.035,-146.434,13.3,2.9,Ml,,,,0.99,ak,ak10778976,1376298237328
2013-08-12T08:20:46.000+00:00,34.290,-116.766,0.9,2.5,Ml,86,32,0.1,0.20,ci,ci11349026,1376327960087
2013-08-12T08:09:38.300+00:00,30.125,97.938,9.6,5.0,mb,108,94,10.3,1.02,us,usb000j10g,1376323934098
2013-08-12T07:32:34.900+00:00,36.021,-117.772,1.8,3.8,Ml,33,50,0.0,0.11,ci,ci11348882,1376298768222
2013-08-12T06:40:16.940+00:00,-0.039,125.076,63.4,4.6,mb,38,44,2.4,0.87,us,usb000j0zw,1376318577983
2013-08-12T06:05:13.300+00:00,19.034,-68.680,35.0,3.3,Md,10,310,0.6,0.37,pr,pr13224002,1376290125913
2013-08-12T05:19:02.320+00:00,10.491,-86.887,42.2,5.1,mb,96,139,1.9,1.22,us,usb000j0zb,1376322343152
2013-08-12T04:16:46.560+00:00,-30.621,-179.613,325.2,6.0,Mwp,173,20,7.1,1.06,us,usb000j0yl,1376326374166
2013-08-12T04:10:25.800+00:00,47.774,-123.235,38.8,2.8,Ml,,47,0.2,0.19,uw,uw60570171,1376323043143
2013-08-12T03:20:51.100+00:00,34.289,-116.764,1.2,2.9,Ml,95,25,0.1,0.18,ci,ci11348690,1376323743966
2013-08-12T02:58:51.090+00:00,30.092,97.978,34.2,4.5,mb,23,114,7.1,1.25,us,usb000j0xw,1376305279295
2013-08-12T01:34:03.010+00:00,30.243,98.038,27.5,4.5,mb,28,74,7.2,0.83,us,usb000j0ws,1376300196666
2013-08-12T00:57:31.800+00:00,18.597,-68.973,108.0,3.0,Md,6,187,0.4,0.37,pr,pr13224000,1376272517319
2013-08-12T00:53:43.660+00:00,-7.123,129.810,92.0,6.0,Mww,194,15,1.7,0.99,us,usb000j0vl,1376283415000
2013-08-12T00:51:12.060+00:00,41.999,142.266,71.0,4.8,mb,158,48,0.7,0.69,us,usb000j0vn,1376297624108
2013-08-12T00:11:14.200+00:00,30.159,97.979,58.7,4.6,mb,38,90,16.5,0.78,us,usb000j0v7,1376295225036
2013-08-11T23:58:52.590+00:00,30.029,97.882,59.3,5.2,mb,174,23,6.9,0.59,us,usb000j0v3,1376294493126
2013-08-11T23:48:25.360+00:00,30.020,97.917,59.0,5.0,mb,170,23,7.0,0.66,us,usb000j0uv,1376293852314
2013-08-11T23:18:30.000+00:00,63.468,-149.470,101.8,3.3,Ml,,,,0.65,ak,ak10778753,1376269972755
